record,geoid,st_fips,cnty_fips,tract_fips,name,pop,emp,unemp
1,49001100100,49,001,100100,"Census Tract 1001, Beaver County, UT","3,815","1,538",96
2,49001100200,49,001,100200,"Census Tract 1002, Beaver County, UT","2,564","1,433",55
3,49003960100,49,003,960100,"Census Tract 9601, Box Elder County, UT","3,185","1,310",35
4,49003960200,49,003,960200,"Census Tract 9602, Box Elder County, UT","7,307","3,459",122
5,49003960300,49,003,960300,"Census Tract 9603, Box Elder County, UT","8,250","3,571",173
6,49003960400,49,003,960400,"Census Tract 9604, Box Elder County, UT","5,212","2,410",63
7,49003960500,49,003,960500,"Census Tract 9605, Box Elder County, UT","5,474","2,546",50
8,49003960601,49,003,960601,"Census Tract 9606.01, Box Elder County, UT","3,855","1,489",88
9,49003960602,49,003,960602,"Census Tract 9606.02, Box Elder County, UT","2,407","1,198",34
10,49003960701,49,003,960701,"Census Tract 9607.01, Box Elder County, UT","4,755","2,407",106
11,49003960702,49,003,960702,"Census Tract 9607.02, Box Elder County, UT","2,490","1,222",57
12,49003960801,49,003,960801,"Census Tract 9608.01, Box Elder County, UT","4,335","2,302",90
13,49003960802,49,003,960802,"Census Tract 9608.02, Box Elder County, UT","4,518","2,173",27
14,49005000101,49,005,000101,"Census Tract 1.01, Cache County, UT","4,861","2,345",68
15,49005000102,49,005,000102,"Census Tract 1.02, Cache County, UT","1,673",829,22
16,49005000201,49,005,000201,"Census Tract 2.01, Cache County, UT","3,358","1,703",58
17,49005000202,49,005,000202,"Census Tract 2.02, Cache County, UT","7,422","3,517",96
18,49005000300,49,005,000300,"Census Tract 3, Cache County, UT","8,249","3,105",77
19,49005000401,49,005,000401,"Census Tract 4.01, Cache County, UT","3,669","1,840",73
20,49005000402,49,005,000402,"Census Tract 4.02, Cache County, UT","3,373","1,636",46
21,49005000403,49,005,000403,"Census Tract 4.03, Cache County, UT","6,270","3,112",60
22,49005000501,49,005,000501,"Census Tract 5.01, Cache County, UT","5,524","3,002",92
23,49005000502,49,005,000502,"Census Tract 5.02, Cache County, UT","5,717","3,853",52
24,49005000600,49,005,000600,"Census Tract 6, Cache County, UT","7,681","3,804",183
25,49005000701,49,005,000701,"Census Tract 7.01, Cache County, UT","4,965","2,449",83
26,49005000702,49,005,000702,"Census Tract 7.02, Cache County, UT","3,031","1,508",148
27,49005000800,49,005,000800,"Census Tract 8, Cache County, UT","5,276","3,512",111
28,49005000900,49,005,000900,"Census Tract 9, Cache County, UT","3,702","2,081",71
29,49005001001,49,005,001001,"Census Tract 10.01, Cache County, UT","3,085","1,484",45
30,49005001002,49,005,001002,"Census Tract 10.02, Cache County, UT","4,798","2,732",82
31,49005001101,49,005,001101,"Census Tract 11.01, Cache County, UT","5,896","2,653",44
32,49005001102,49,005,001102,"Census Tract 11.02, Cache County, UT","4,644","2,327",34
33,49005001201,49,005,001201,"Census Tract 12.01, Cache County, UT","5,063","2,459",46
34,49005001202,49,005,001202,"Census Tract 12.02, Cache County, UT","5,954","2,797",74
35,49005001300,49,005,001300,"Census Tract 13, Cache County, UT","6,842","3,079",56
36,49005001401,49,005,001401,"Census Tract 14.01, Cache County, UT","4,603","1,863",69
37,49005001402,49,005,001402,"Census Tract 14.02, Cache County, UT","4,018","1,891",40
38,49005001500,49,005,001500,"Census Tract 15, Cache County, UT","2,159","1,013",65
39,49005980100,49,005,980100,"Census Tract 9801, Cache County, UT",108,57,0
40,49007000100,49,007,000100,"Census Tract 1, Carbon County, UT","3,595","1,591",77
41,49007000200,49,007,000200,"Census Tract 2, Carbon County, UT","4,213","1,779",122
42,49007000300,49,007,000300,"Census Tract 3, Carbon County, UT","4,433","1,549",135
43,49007000500,49,007,000500,"Census Tract 5, Carbon County, UT","3,952","1,474",51
44,49007000600,49,007,000600,"Census Tract 6, Carbon County, UT","4,404","1,391",62
45,49009960100,49,009,960100,"Census Tract 9601, Daggett County, UT","1,061",420,19
46,49011125102,49,011,125102,"Census Tract 1251.02, Davis County, UT","4,494","2,402",76
47,49011125103,49,011,125103,"Census Tract 1251.03, Davis County, UT","4,730","2,485",87
48,49011125104,49,011,125104,"Census Tract 1251.04, Davis County, UT","6,254","2,999",150
49,49011125200,49,011,125200,"Census Tract 1252, Davis County, UT","3,803",713,51
50,49011125301,49,011,125301,"Census Tract 1253.01, Davis County, UT","5,531","2,629",156
51,49011125303,49,011,125303,"Census Tract 1253.03, Davis County, UT","11,204","5,494",178
52,49011125304,49,011,125304,"Census Tract 1253.04, Davis County, UT","5,108","2,948",116
53,49011125305,49,011,125305,"Census Tract 1253.05, Davis County, UT","6,828","3,938",136
54,49011125401,49,011,125401,"Census Tract 1254.01, Davis County, UT","12,561","5,949",27
55,49011125403,49,011,125403,"Census Tract 1254.03, Davis County, UT","12,119","5,740",153
56,49011125405,49,011,125405,"Census Tract 1254.05, Davis County, UT","10,456","4,796",126
57,49011125406,49,011,125406,"Census Tract 1254.06, Davis County, UT","8,028","3,795",121
58,49011125501,49,011,125501,"Census Tract 1255.01, Davis County, UT","6,267","2,867",73
59,49011125502,49,011,125502,"Census Tract 1255.02, Davis County, UT","6,218","3,040",97
60,49011125503,49,011,125503,"Census Tract 1255.03, Davis County, UT","5,081","2,551",101
61,49011125600,49,011,125600,"Census Tract 1256, Davis County, UT","1,364",113,0
62,49011125701,49,011,125701,"Census Tract 1257.01, Davis County, UT","3,936","1,580",44
63,49011125702,49,011,125702,"Census Tract 1257.02, Davis County, UT","4,232","1,832",151
64,49011125801,49,011,125801,"Census Tract 1258.01, Davis County, UT","7,475","3,578",125
65,49011125804,49,011,125804,"Census Tract 1258.04, Davis County, UT","7,028","3,629",141
66,49011125805,49,011,125805,"Census Tract 1258.05, Davis County, UT","6,586","3,286",70
67,49011125807,49,011,125807,"Census Tract 1258.07, Davis County, UT","3,267","1,688",60
68,49011125808,49,011,125808,"Census Tract 1258.08, Davis County, UT","6,003","3,644",220
69,49011125905,49,011,125905,"Census Tract 1259.05, Davis County, UT","6,992","3,144",184
70,49011125906,49,011,125906,"Census Tract 1259.06, Davis County, UT","7,619","3,416",44
71,49011125907,49,011,125907,"Census Tract 1259.07, Davis County, UT","2,339","1,062",30
72,49011125908,49,011,125908,"Census Tract 1259.08, Davis County, UT","5,431","2,540",94
73,49011126001,49,011,126001,"Census Tract 1260.01, Davis County, UT","5,214","2,625",144
74,49011126002,49,011,126002,"Census Tract 1260.02, Davis County, UT","5,430","2,948",47
75,49011126101,49,011,126101,"Census Tract 1261.01, Davis County, UT","7,167","2,720",45
76,49011126104,49,011,126104,"Census Tract 1261.04, Davis County, UT","11,811","5,630",126
77,49011126105,49,011,126105,"Census Tract 1261.05, Davis County, UT","7,721","3,664",150
78,49011126202,49,011,126202,"Census Tract 1262.02, Davis County, UT","9,470","5,212",80
79,49011126203,49,011,126203,"Census Tract 1262.03, Davis County, UT","4,404","2,445",55
80,49011126204,49,011,126204,"Census Tract 1262.04, Davis County, UT","4,787","2,617",80
81,49011126303,49,011,126303,"Census Tract 1263.03, Davis County, UT","4,991","2,260",17
82,49011126304,49,011,126304,"Census Tract 1263.04, Davis County, UT","6,805","3,206",42
83,49011126305,49,011,126305,"Census Tract 1263.05, Davis County, UT","2,364","1,034",48
84,49011126306,49,011,126306,"Census Tract 1263.06, Davis County, UT","7,421","3,858",90
85,49011126402,49,011,126402,"Census Tract 1264.02, Davis County, UT","3,560","1,543",72
86,49011126404,49,011,126404,"Census Tract 1264.04, Davis County, UT","6,628","3,458",48
87,49011126405,49,011,126405,"Census Tract 1264.05, Davis County, UT","4,304","1,834",48
88,49011126406,49,011,126406,"Census Tract 1264.06, Davis County, UT","4,507","2,213",78
